JobName;Odate;OrderId;Status;StartTime;EndTime;AverageRuntime;Deleted;RerunCounter
DISDIS_E11TEC_XX_PURB1_Q;161129;25rnk;Wait Condition;;;000001;0;0
DISDIS_E11TEC_XX_PURB1_Q;161201;25w2l;Ended OK;20161202002000;20161202002001;000001;0;1
DISDIS_E11TEC_XX_PURR1_Q;161129;25rnm;Wait Condition;;;000001;0;0
DISDIS_E11TEC_XX_PURR1_Q;161201;25w2n;Ended OK;20161202002000;20161202002001;000001;0;1
DISDIS_E11TEC_XX_SCPB1_Q;161129;25rnp;Wait Condition;;;005644;0;0
DISDIS_E11TEC_XX_SCPB1_Q;161201;25w2q;Ended OK;20161202015120;20161202024322;005644;0;1
DISDIS_E11TEC_XX_SCPR1_Q;161129;25rno;Wait Condition;;;013137;0;0
DISDIS_E11TEC_XX_SCPR1_Q;161201;25w2p;Ended OK;20161202002002;20161202015119;013137;0;1
DISDIS_J11TEC_04_SUB01_Q;161201;25wlz;Ended OK;20161201193003;20161201193003;000001;0;1
DISDIS_J11TEC_04_SUB02_Q;161201;25wm0;Wait Condition;20161202093000;20161202093003;000001;0;21
DONGEU10;161201;25y77;Ended OK;20161201202518;20161201202518;000001;0;1
DTRCID_J11INT_05_CPY01_Q;161201;25xng;Ended OK;20161202074721;20161202074722;000001;0;1
DTRCID_J11INT_05_FWT01_Q;161201;25xne;Ended OK;20161202074714;20161202074719;000006;0;1
DTRCID_J11INT_05_IMP01_Q;161201;25xnf;Ended OK;20161202074723;20161202083137;004209;0;1
DTRCID_J12INT_05_CPY01_Q;161201;25xmp;Ended OK;20161202072805;20161202072806;000001;0;1
DTRCID_J12INT_05_FWT01_Q;161201;25xmo;Ended OK;20161202072800;20161202072804;000000;0;2
DTRCID_J12INT_05_IMP01_Q;161201;25xmq;Ended OK;20161202072807;20161202073152;000511;0;1
DTRCRT_J11INT_05_CPY01_Q;161201;25xmm;Ended OK;20161202073159;20161202073200;000001;0;1
DTRCRT_J11INT_05_FWT01_Q;161201;25xml;Ended OK;20161202073153;20161202073158;000004;0;1
DTRCRT_J11INT_05_IMP01_Q;161201;25xmn;Ended OK;20161202073202;20161202073316;000230;0;1
DTRCSC_J13INT_05_FWT01_Q;161201;25xmy;Ended OK;20161202020540;20161202020545;000004;0;1
DTRCSC_J13INT_05_IMP01_Q;161201;25xmz;Ended OK;20161202020546;20161202032721;013125;0;1
DTRCSC_J13INT_05_WRK01_Q;161201;25xn0;Ended OK;20161202020539;20161202020539;000001;0;1
DTRCSC_J14INT_05_IMP04_Q;161201;25xmr;Ended OK;20161202032723;20161202032845;000154;0;1
DTRDEC_J11INT_05_IMP01_Q;161201;25xnh;Ended OK;20161202073153;20161202080859;004757;0;1
DTRDTR_J11INT_05_IMP01_Q;161201;25xn2;Ended OK;20161202021257;20161202021309;000016;0;1
DTRDTR_J11TEC_04_CTL01_Q;161201;25wju;Ended OK;20161201150000;20161201150000;000001;0;1
DTRDTR_J11TEC_04_FLG01_Q;161201;25wjs;Ended OK;20161202022813;20161202022813;000001;0;1
DTRDTR_J11TEC_04_FLG04_Q;161201;25wjt;Ended OK;20161201190000;20161201190000;000001;0;1
DTRDTR_J11TRT_05_IMP01_Q;161201;25wcs;Ended OK;20161202074714;20161202074722;000054;0;1
DTRDTR_J12INT_05_IMP01_Q;161201;25xn1;Ended OK;20161202022813;20161202023458;000847;0;1
DTRDTR_J12TRT_05_IMP01_Q;161201;25wcu;Ended OK;20161202021500;20161202022443;001642;0;1
DTRDTR_J13TRT_05_IMP01_Q;161201;25wct;Ended OK;20161202083139;20161202083517;000459;0;1
DTRDTR_J14TRT_04_IMP01_Q;161201;25wcv;Ended OK;20161202083518;20161202083555;000103;0;1
DTRDTR_K12SVG_03_ARC01_Q;161201;25w3g;Wait Condition;20161202100000;20161202100000;000001;0;7
DTRDTR_K12SVG_03_NBU01_Q;161201;25w4c;Ended OK;20161202050000;20161202050000;000001;0;1
DTRDTR_K12SVG_03_NBU04_Q;161201;25w3f;Ended OK;20161202050000;20161202050000;000001;0;1
DTRDTR_K12SVG_03_RMA02_Q;161201;25w4d;Ended OK;20161201210000;20161201210000;000001;0;1
DTRDTR_K12SVG_03_RMA05_Q;161201;25w4e;Ended OK;20161201220000;20161201220000;000001;0;1
DTRECO_J11INT_05_CPY01_Q;161201;25xmw;Ended OK;20161202020545;20161202020545;000001;0;1
DTRECO_J11INT_05_FWT01_Q;161201;25xmv;Ended OK;20161202020539;20161202020544;000005;0;1
DTRECO_J11INT_05_IMP01_Q;161201;25xmx;Ended OK;20161202020546;20161202020704;000125;0;1
DTREXT_J11INT_DC_CPY01_Q;161201;25x1i;Wait Condition;;;000001;0;0
DTREXT_J11INT_DC_FWT01_Q;161201;25x1g;Wait Condition;;;000004;0;0
DTREXT_J11INT_DC_IMP01_Q;161201;25x1h;Wait Condition;;;000715;0;0
DTREXT_J11INT_DE_CPY01_Q;161201;25x1l;Wait Condition;;;000001;0;0
DTREXT_J11INT_DE_FWT01_Q;161201;25x1j;Wait Condition;;;000005;0;0
DTREXT_J11INT_DE_IMP01_Q;161201;25x1k;Wait Condition;;;000657;0;0
DTREXT_J11INT_DL_CPY01_Q;161201;25x1o;Wait Condition;;;000001;0;0
DTREXT_J11INT_DL_FWT01_Q;161201;25x1m;Wait Condition;;;000005;0;0
DTREXT_J11INT_DL_IMP01_Q;161201;25x1n;Wait Condition;;;000607;0;0
DTREXT_J11INT_DM_CPY01_Q;161201;25x1r;Wait Condition;;;000001;0;0
DTREXT_J11INT_DM_FWT01_Q;161201;25x1p;Wait Condition;;;000005;0;0
DTREXT_J11INT_DM_IMP01_Q;161201;25x1q;Wait Condition;;;000743;0;0
DTREXT_J11INT_DN_CPY01_Q;161201;25x1u;Wait Condition;;;000001;0;0
DTREXT_J11INT_DN_FWT01_Q;161201;25x1s;Wait Condition;;;000005;0;0
DTREXT_J11INT_DN_IMP01_Q;161201;25x1t;Wait Condition;;;000436;0;0
DTREXT_J11INT_DO_CPY01_Q;161201;25x1x;Wait Condition;;;000001;0;0
DTREXT_J11INT_DO_FWT01_Q;161201;25x1v;Wait Condition;;;000005;0;0
DTREXT_J11INT_DO_IMP01_Q;161201;25x1w;Wait Condition;;;000302;0;0
DTREXT_J11INT_DR_CPY01_Q;161201;25x23;Wait Condition;;;000001;0;0
DTREXT_J11INT_DR_FWT01_Q;161201;25x21;Wait Condition;;;000005;0;0
DTREXT_J11INT_DR_IMP01_Q;161201;25x22;Wait Condition;;;001106;0;0
DTREXT_J11INT_DS_CPY01_Q;161201;25x20;Wait Condition;;;000001;0;0
DTREXT_J11INT_DS_FWT01_Q;161201;25x1y;Wait Condition;;;000005;0;0
DTREXT_J11INT_DS_IMP01_Q;161201;25x1z;Wait Condition;;;001029;0;0
DTREXT_J21INT_DC_CPY01_Q;161201;25x26;Wait Condition;;;000001;0;0
DTREXT_J21INT_DC_FWT01_Q;161201;25x24;Wait Condition;;;000044;0;0
DTREXT_J21INT_DC_IMP01_Q;161201;25x25;Wait Condition;;;000246;0;0
DTREXT_J21INT_DE_CPY01_Q;161201;25x29;Wait Condition;;;000001;0;0
DTREXT_J21INT_DE_FWT01_Q;161201;25x27;Wait Condition;;;000044;0;0
DTREXT_J21INT_DE_IMP01_Q;161201;25x28;Wait Condition;;;000222;0;0
DTREXT_J21INT_DL_CPY01_Q;161201;25x2c;Wait Condition;;;000002;0;0
DTREXT_J21INT_DL_FWT01_Q;161201;25x2a;Wait Condition;;;000044;0;0
DTREXT_J21INT_DL_IMP01_Q;161201;25x2b;Wait Condition;;;000219;0;0
DTREXT_J21INT_DM_CPY01_Q;161201;25x2f;Wait Condition;;;000001;0;0
DTREXT_J21INT_DM_FWT01_Q;161201;25x2d;Wait Condition;;;000044;0;0
DTREXT_J21INT_DM_IMP01_Q;161201;25x2e;Wait Condition;;;000250;0;0
DTREXT_J21INT_DN_CPY01_Q;161201;25x2o;Wait Condition;;;000001;0;0
DTREXT_J21INT_DN_FWT01_Q;161201;25x2m;Wait Condition;;;000044;0;0
